survey,item,variable,values,question_text,response_categories,agreed,notes
bsa2017,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong / 2 Mostly wrong / 3 Sometimes wrong / 4 Rarely wrong / 5 Not wrong at all,1,
bsa2018,approve4,sexhomo,c(1:4),"And what about sexual relations between two adults of the same sex, is it wrong?",1 Always wrong 2 Almost always wrong 3 Wrong Only Sometimes 4 Not Wrong at All,,
bsa2018,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
bsa2019,approve5,homosex,c(1:5),What about sexual relations between two adults of the same sex?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
canadianes2004,marry3a,ces04_cps_i1_3,"c(3,8,1)","Do you favour or oppose same-sex marriage, or do you have no opinion on this? ",1 favor / 3 oppose / 8 no opinion,1,
canadianes2004,marry4a,ces04_pes_g12_3,"c(7,5,3,1)",Gays and lesbians should be allowed to get married,1 strongly agree / 3 somewhat agree / 5 somewhat disagree / 7 strongly disagree,1,
canadianes2006,marry3a,ces06_cps_i9,"c(3,8,1)","Do you favour or oppose same-sex marriage, or do you have no opinion on this? ",1 favor / 3 oppose / 8 no opinion,1,
canadianes2006,marry4a,ces06_pes_g7,"c(7,5,3,1)",Gays and lesbians should be allowed to get married,1 strongly agree / 3 somewhat agree / 5 somewhat disagree / 7 strongly disagree,1,
canadianes2008,marry3a,ces08_pes_p7,"c(3,8,1)","Do you favour or oppose same-sex marriage, or do you have no opinion on this? ",1 favor / 3 oppose / 8 no opinion,,
canadianes2008,marry4a,ces08_pes_g5,"c(7,5,3,1)",Gays and lesbians should be allowed to get married,1 strongly agree / 3 somewhat agree / 5 somewhat disagree / 7 strongly disagree,,
canadianes2011,marry3a,pes11_29,"c(5,8,1)","Do you favour or oppose same-sex marriage, or do you have no opinion on this? ",1 favor 5 oppose 8 no opinion,,
canadianes2015,marry3a,p_ssm,"c(5,8,1)","Do you favour or oppose same-sex marriage, or do you have no opinion on this? ",1 favor 5 oppose 8 no opinion,,
caucasusb2011,just10,jushomo,c(1:10),"Using this CARD, where '1' means 'Can never be justified' and '10' means can always be justified,' please tell me for each of the following actions whether you think it can be justified or not?",1 never be justified / 23456789 / 10 always be justified,,
caucasusb2019,business2,businga,"c(0, 1)",Can you please tell me whether you approve or disapprove of people like you doing business with a homosexual?,0 disapprove / 1 approve,,
caucasusb2021,business2,businga,"c(0, 1)",Can you please tell me whether you approve or disapprove of people like you doing business with a homosexual?,0 disapprove / 1 approve,,
cbsnyt199302,accept2a,q45,"c(2, 1)",Do you feel that homosexuality should be considered an acceptable alternative lifestyle or not?,1 acceptable / 2 not acceptable,1,
cbsnyt199302,legal2,q46,"c(2, 1)",Do you think homosexual relations between consenting adults should or should not be legal,1 should 2 should not,1,
cces2009,marry2,cc09_54,"c(2, 1)",gay marriage,yes 1       no 2,1,
cces2012,marry2,cc326,"c(2, 1)",Do you favor or oppose allowing gays and lesbians to marry legally?,favor 1  oppose 2,1,
cces2014,marry2,cc14_327,"c(2, 1)",Do you favor or oppose allowing gays and lesbians to marry legally?,favor 1  oppose 2,1,
cces2015,marry2,cc15_325,"c(2, 1)",Do you favor or oppose allowing gays and lesbians to marry legally?,favor 1  oppose 2,1,
cces2016,marry2,cc16_335,"c(2, 1)",Do you favor or oppose allowing gays and lesbians to marry legally?,favor 1  oppose 2,1,
cdcee,accept4,v233,c(4:1),Homosexuals are people who should be accepted like anybody else,Agree completely    1  Disagree completely  4,1,
cgeis2015,marry3,q17,c(3:1),What is your view on same-sex marriage?,"1 Favour same-sex marriage / 2 Oppose same-sex marriage, but would accept civil unions / 3 Oppose entirely same-sex marriage",,
chcep201810,marry5,rel_47,c(5:1),"How much do you agree or disagree with
allow in Chile the marriage of two people of the same sex?",Strongly agree 1 Stronly disagree 5,1,
chcep201810,approve4,rel_4,c(1:4),And what do you think about sexual relations between two adults of the same sex?,1 always wrong / 2 almost always wrong / 3 wrong only sometimes / 4 not wrong at all,,
cid_combo,neigh2,v224,"c(1, 2)",Are there any of these groups you would not like as a neighbor? Homosexuals,1 mentioned / 2 not mentioned,,
cnes1993,marry4a,cpsg7b,"c(7,5,3,1)",Homosexual couples should be allowed to be legally married,1 strongly agree / 3 somewhat agree / 5 somewhat disagree / 7 strongly disagree,,
cnes1997,marry4a,mbsg3,c(4:1),Homosexual couples should be allowed to be legally married,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree,,
cnes2000,marry4a,cpsf18,"c(7,5,3,1)",Gays and lesbians should be allowed to get married,1 strongly agree / 3 somewhat agree / 5 somewhat disagree / 7 strongly disagree,,
cnn199301,marry2,q24,"c(2, 1)",Do you think marriages between homosexual men or between homosexual women should be recognized as legal by the law?,1 yes / 2 no,1,
cnn199406,adopt2,q25,"c(2, 1)",Do you think that homosexual couples should be legally permitted to adopt children?,1 yes / 2 no,1,
cnn199406,legal2,q29,"c(2, 1)",Do you think that homosexual relations between consenting adults should be legal or illegal?,1 Legal / 2 Illegal,1,
cnn199406,marry2,q24,"c(2, 1)",Do you think marriages between homosexual men or between homosexual women should be recognized as legal by the law?,1 yes / 2 no,1,
cnn199810,adopt2,q28,"c(2, 1)","Do you think that homosexual couples should be legally permitted to adopt children, (or don't you think so)?",1 yes / 2 no,1,
cnn199810,legal2,q29,"c(2, 1)",Do you think that homosexual relations between consenting adults should be legal or illegal?,1 Legal / 2 Illegal,1,
cnn199810,marry2,q25,"c(2, 1)",Do you think marriages between homosexual men or between homosexual women should be recognized as legal by the law?,1 yes / 2 no,1,
cnn200001,marry2,q24,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages",should be valid 1   not be recog  2,1,
cnn200306,marry2,q21,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages",should be valid 1   not be recog  2,1,
cnn200309,marry2,q27,"c(2, 1)","On another issue, do you think marriages between homosexual men or between homosexual women should be recognized as legal by the law, or not?",1 yes / 2 no,1,
cnn200310,marry2,q42,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages?",should be valid 1   not be recog  2,1,
cnn200312,marry2,q14,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages?",should be valid 1   not be recog  2,1,
cnn200402,marry2,q33,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages?",should be valid 1   not be recog  2,1,
cnn200403,marry2,q23,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages?",should be valid 1   not be recog  2,1,
cnn200405,marry2,q34,"c(2, 1)","Do you think marriages between homosexual men or between homosexual women should be recognized as legal by the law, or not?",1 yes / 2 no,1,
cnn200407,marry2,q24,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages?",should be valid 1   not be recog  2,1,
cnn200503,marry2,q7,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages?",should be valid 1   not be recog  2,1,
cnn200505,marry2,q24,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages?",should be valid 1   not be recog  2,1,
cnn200705,adopt2,q34,"c(2, 1)",Do you think gay or lesbian couples should or should not have the legal right to adopt a child?,should 1 should not 2,1,
cnn200708,marry2,q16,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages?",should be valid 1   not be recog  2,1,
cnn200710,marry2,q09,"c(2, 1)","Do you think marriages between homosexuals should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should be recognized as valid 1 Should not be recognized as valid 2,1,
cnn200806,marry2,q17,"c(2, 1)","Do you think marriages between gay or lesbian couples should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should be recognized as valid 1 Should not be recognized as valid 2,1,
cnn200812,marry2,q33,"c(2, 1)","Do you think marriages between gay or lesbian couples should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should be recognized as valid 1 Should not be recognized as valid 2,1,
cnn200905,marry2,q33,"c(2, 1)","Do you think marriages between gay or lesbian couples should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should 1 Should not 2,1,
cnn201105,marry2,q35,"c(2, 1)","Do you think marriages between gay or lesbian couples should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should 1 Should not 2,1,
cnn201109,marry2,q25,"c(2, 1)","Do you think marriages between gay or lesbian couples should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should 1 Should not 2,1,
cnn201205,marry2,q22,"c(2, 1)","Do you think marriages between gay or lesbian couples should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should 1 Should not 2,1,
cnn201303,marry2,q14,"c(2, 1)","Do you think marriages between gay or lesbian couples should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should 1 Should not 2,1,
cnn201306,marry2,q10,"c(2, 1)","Do you think marriages between gay or lesbian couples should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should 1 Should not 2,1,
cnn201412,marry2,q23,"c(2, 1)","Do you think marriages between gay or lesbian couples should or should not be recognized by the law as valid, with the same rights as traditional marriages?",Should 1 Should not 2,1,
dkes2005,adopt5,v218,c(5:1),Homosexual couples should have the same rights as others to adopt children,,,
dkes2007,adopt5,v251,c(5:1),Homosexual couples should have the same rights as others to adopt children,,,
eb21,accept5,v128,c(1:5),"WILL YOU PLEASE, FOR EACH ITEM, SELECT ON THIS LIST. THE ANSWER WHICH BEST DESCRIBES YOUR OWN OPINION. HOMOSEXUALS ARE PEOPLE JUST LIKE OTHERS.",Disagree completely 1 COMPLETELY AGREE 5,1,
eb39,adopt2,v639,"c(2, 1)","Do you think that homosexual couples should, or should not, have the right to Adopt children",Should 1 Should not 2,1,
eb39,civil2,v638,"c(2, 1)","Do you think that homosexual couples should, or should not, have the right to Live together, without being married, but with the same advantages as married couples",Should 1 Should not 2,1,
eb39,marry2,v637,"c(2, 1)","Do you think that homosexual couples should, or should not, have the right to Marry each other",Should 1 Should not 2,1,
eb561,pension4,v397,c(4:1),Couples of the same sex should be entitled to a widow's/widower's pension as if they had lived with a partner of the opposite sex,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree,1,
eb661,adopt4,v325,c(4:1),"For each of the following propositions, tell me if you Adoption of children should be authorised for homosexual couples throughout Europe",Totally agree 1 totally disagree 4,1,
eb661,marry4e,v324,c(4:1),"For each of the following propositions, tell me if you Homosexual marriages should be allowed throughout Europe?",Totally agree 1 totally disagree 4,1,
eb691,hioff10,v129,c(1:10),"Using a scale from 1 to 10, please tell me how you would feel about having a person from each of the following groups in the highest elected political position in (OUR COUNTRY). '1' means that you would feel """"not at all comfortable"""" and '10' that you would feel """"totally comfortable"""": A gay, lesbian or bisexual person",1 Not at all comfortable / 23456789 / 10 Totally comfortable,1,
eb691,neigh10,v106,c(1:10),Having a homosexual (gay man or lesbian woman) as a neighbour,1 Not at all comfortable / 23456789 / 10 Totally comfortable,1,
eb712,hioff10,v293,c(1:10),"Using a scale from 1 to 10, please tell me how you would feel about having a person from each of the following groups in the highest elected political position in (OUR COUNTRY). '1' means that you would feel """"not at all comfortable"""" and '10' that you would feel """"totally comfortable"""": A gay, lesbian or bisexual person",1 Not at all comfortable / 23456789 / 10 Totally comfortable,1,
eb774,hioff10,qc5_2,c(1:10),"Using a scale from 1 to 10, please tell me how you would feel about having a person from each of the following groups in the highest elected political position in (OUR COUNTRY). '1' means that you would feel """"not at all comfortable"""" and '10' that you would feel """"totally comfortable"""": A gay, lesbian or bisexual person",1 Not at all comfortable / 23456789 / 10 Totally comfortable,1,
eb834,approve4,qc16_2,c(4:1),To what extent do you agree or disagree with each of the following statements?There is nothing wrong in a sexual relationship between two persons of the same sex,Totally agree 1 totally disagree 4,1,
eb834,hioff10,qc4_2,c(1:10),"Using a scale from 1 to 10, please tell me how you would feel about having a person from each of the following groups in the highest elected political position in (OUR COUNTRY). '1' means that you would feel """"not at all comfortable"""" and '10' that you would feel """"totally comfortable"""": A gay, lesbian or bisexual person",Very uncomfortable 1  Totally comfortable 10 Indifferent (SPONT.) 11,1,
eb834,marry4e,qc16_3,c(4:1),To what extent do you agree or disagree with each of the following statements? Same sex marriages should be allowed throughout Europe,Totally agree 1 totally disagree 4,1,
eb834,rights4,qc16_1,c(4:1),"To what extent do you agree or disagree with each of the following statements? Gay, lesbian and bisexual people should have the same rights as heterosexual people",Totally agree 1 totally disagree 4,1,
eb914,approve4,qc15_2,c(4:1),To what extent do you agree or disagree with each of the following statements?There is nothing wrong in a sexual relationship between two persons of the same sex,Totally agree 1 totally disagree 4,1,
eb914,hioff10,qc6_2,c(1:10),"Using a scale from 1 to 10, please tell me how you would feel about having a person from each of the following groups in the highest elected political position in (OUR COUNTRY). '1' means that you would feel """"not at all comfortable"""" and '10' that you would feel """"totally comfortable"""": A gay, lesbian or bisexual person",Very uncomfortable 1  Totally comfortable 10 Indifferent (SPONT.) 11,1,
eb914,marry4e,qc15_3,c(4:1),To what extent do you agree or disagree with each of the following statements? Same sex marriages should be allowed throughout Europe,Totally agree 1 totally disagree 4,1,
eb914,rights4,qc15_1,c(4:1),"To what extent do you agree or disagree with each of the following statements? Gay, lesbian and bisexual people should have the same rights as heterosexual people",Totally agree 1 totally disagree 4,1,
ees2009,marry5,q58,c(1:5),Same-sex marriages should be prohibited by law.,strongly agree 1  strongly disagree 5,1,
ees2019,marry11,q14_3,c(10:0),I would like you to tell me your views on various issues: same-sex marriage,fully in favour of same sex marriage 0 fully opposed to same sex marriage 10,1,
ess1,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess2,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess2_it,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess3,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess3_lv,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess3_ro,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess4,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess4_at,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess4_lt,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess5,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess5_at,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess6,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess7,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess8,adopt5,hmsacld,c(5:1),Gay male and lesbian couples should have the same rights to adopt children as straight couples.,Agree strongly 1  Disagree strongly 5,1,
ess8,ashamed5,hmsfmlsh,c(1:5),"If a close family member was a gay man or a lesbian, I would feel ashamed.",Agree strongly 1  Disagree strongly 5,1,
ess8,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess9,adopt5,hmsacld,c(5:1),Gay male and lesbian couples should have the same rights to adopt children as straight couples.,Agree strongly 1  Disagree strongly 5,1,
ess9,ashamed5,hmsfmlsh,c(1:5),"If a close family member was a gay man or a lesbian, I would feel ashamed.",Agree strongly 1  Disagree strongly 5,1,
ess9,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess9_ro,adopt5,hmsacld,c(5:1),Gay male and lesbian couples should have the same rights to adopt children as straight couples.,Agree strongly 1  Disagree strongly 5,1,
ess9_ro,ashamed5,hmsfmlsh,c(1:5),"If a close family member was a gay man or a lesbian, I would feel ashamed.",Agree strongly 1  Disagree strongly 5,1,
ess9_ro,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
ess10,adopt5,hmsacld,c(5:1),Gay male and lesbian couples should have the same rights to adopt children as straight couples.,Agree strongly 1  Disagree strongly 5,1,
ess10,ashamed5,hmsfmlsh,c(1:5),"If a close family member was a gay man or a lesbian, I would feel ashamed.",Agree strongly 1  Disagree strongly 5,1,
ess10,free5,freehms,c(5:1),Gay men and lesbians should be free to live their own life as they wish,Agree strongly 1  Disagree strongly 5,1,
evs_combo,adopt5,d026_01,c(5:1),How would you feel about the following statement? Do you agree or disagree with them? Homosexual couples should be able to adopt children,Agree strongly1 strongly disagree 5,1,
evs_combo,just10,f118,c(1:10),"please tell me for each of the following statement - homosexuality, wether you think it can always be justified, never be justifed, or something between",Never 1 Always 10,1,
evs_combo,neigh2,a124_09,"c(1, 0)",On this list are various groups of people. Could you please sort out any that you whoul dnot like to have as neigbours. Homosexuals,Not mention 0 Mention 1,1,
evs2017,just10,v153,c(1:10),"Please indicate for each of the following whether you think it can always be justified, never be justified, or something in between.Can this always be justified, never be justified, or something in between? Homosexuality",Never 1 Always 10,1,
evs2017,neigh2,v26,c(1:2),On this list are various groups of people. Could you identify any that you would not like to have as neighbours? Homosexuals,1 mentioned / 2 not mentioned,1,
evs2017,parent5,v82,c(5:1),How much do you agree or disagree with this statement? Homosexual couples are as good parents as other couples,Agree strongly1 strongly disagree 5,1,
evs2017ukr,just10,v153,c(1:10),"Please indicate for each of the following whether you think it can always be justified, never be justified, or something in between.Can this always be justified, never be justified, or something in between? Homosexuality",Never 1 Always 10,1,
evs2017ukr,neigh2,v26,c(1:2),On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,1 mentioned / 2 not mentioned,1,
evs2017ukr,parent5,v82,c(5:1),How much do you agree or disagree with this statement? Homosexual couples are as good parents as other couples,Agree strongly1 strongly disagree 5,1,
evs_greece2017,just10,v153,c(1:10),"Please indicate for each of the following whether you think it can always be justified, never be justified, or something in between.Can this always be justified, never be justified, or something in between? Homosexuality",Never 1 Always 10,1,
evs_greece2017,neigh2,v26,c(1:2),On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,1 mentioned / 2 not mentioned,1,
evs_greece2017,parent5,v82,c(5:1),How much do you agree or disagree with this statement? Homosexual couples are as good parents as other couples,Agree strongly1 strongly disagree 5,1,
fsdelection_combo,adopt4a,fnes1024,c(4:1),Same-sex couples' right to adopt is a good thing,1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree,1,
fsdelection_combo,adopt4a,fnes462,c(4:1),Same-sex couples in registered partnerships should have the right to adopt children,1 agree strongly / 2 agree / 3 disagree / 4 disagree strongly,1,
fsdelection_combo,marry4a,fnes1023,c(4:1),Same-sex couples' right to marry is a good thing,1 strongly agree / 2 somewhat agree / 3 somewhat disagree / 4 strongly disagree,1,
fsdelection2011,marry4a,k6i,c(4:1),Finland should allow same-sex marriage,1 strongly agree / 2 agree / 3 disagree / 4 strongly disagree,1,
fsdelection2019,adopt4a,p4_14,c(4:1),Same-sex couples in registered partnerships should have the right to adopt children,1 strongly agree / 2 agree to some extent / 3 disagree to some extent / 4 strongly disagree,1,
fsdelection2019,marry4a,p4_13,c(4:1),Same-sex couples' right to marry is a good thing,1 strongly agree / 2 agree to some extent / 3 disagree to some extent / 4 strongly disagree,1,
fsdimm1996,accept5,q30_23,c(5:1),Homosexuals are as good people as everyone else,1 strongly agree / 2 agree / 3 can't say / 4 disagree / 5 disagree strongly,1,
fsdlife1997,adopt7,k4_1,c(1:7),Same-sex couples should have the same right to adopt children as other couples,1 strongly disagree / 23456 / 7 strongly agree,1,
fsdreligion2008,neigh2,q30l,"c(2, 1)",people you do not want to have as neighbors? Homosexuals,1 not mentioned / 2 mentioned,1,
fsdsex1992,civil5,a_q78,c(5:1),Gay and lesbian couples should be able to register their unions in the same way as is done with marriages,1 agree strongly / 2 agree / 3 difficult to say / 4 disagree / 5 disagree strongly,1,
fsdsex1992,private5,a_q71,c(5:1),Homosexual behaviour between adults is a private affair with which the authorities and legislation should not interfere,1 strongly agree / 2 agree to some extent / 3 hard to say / 4 disagree to some extent / 5 strongly disagree,1,
fsdsex2000_ee,private5,q32,c(5:1),Homosexual behaviour between adults is a private affair with which the authorities and legislation should not interfere,1 strongly agree / 2 agree to some extent / 3 hard to say / 4 disagree to some extent / 5 strongly disagree,1,
gallup_canada198804,adopt2,q10d,"c(2, 1)","In your opinion, should homosexuals be allowed to adopt children or not?",1 yes / 2 no,1,
gallup_canada199107,adopt2,q8b,"c(2, 1)","In your opinion, should homosexuals be allowed to adopt children or not?",1 yes / 2 no,1,
gallup_canada199404,marry2,samesex,"c(2, 1)",Do you favour or oppose marriages between people of the same sex?,1 favor / 2 oppose,1,
gallup_canada199404,civil2,benefits,"c(2, 1)","Do you or do you not think that homosexual couples, who are living as married, should receive the same tax and employment benefits as heterosexual married couples? ",1 favor / 2 oppose,1,
gallup_canada199410,adopt2,q5b,"c(2, 1)","In your opinion, should homosexuals be allowed to adopt children or not?",1 yes / 2 no,1,
gallup_canada1996,adopt2,q14,"c(2, 1)","In your opinion, should homosexuals be allowed to adopt children or not?","1 yes, should / 2 no, should not",1,
gallup_canada1996,civil2,q13,"c(2, 1)",Do you or do you not think that homosexual couples who are living as married should receive the same tax and employment benefits as heterosexual married couples?,1 Should receive same benefits 2 Should not receive same benefits,1,
gallup_canada1996,marry2,q12,"c(2, 1)",Do you favor or oppose marriages between people of the same sex?,1 favor 2 oppose,1,
gallup_canada199610,legal2,leghom,"c(2, 1)",Do you think homosexual relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
gallup_canada199804,marry2,q6a,"c(2, 1)",Do you favour or oppose marriages between people of the same sex?,1 favor 2 oppose,1,
gallup_canada199804,adopt2,q6c,"c(2, 1)","And, in your opinion, should homosexuals be allowed to adopt children or not?","1 yes, should / 2 no, should not",1,
gallup_canada199804,civil2,q6b,"c(2, 1)",Do you or do you not think that homosexual couples who are living as married should receive the same tax and employment benefits as heterosexual married couples?,1 Should receive same benefits 2 Should not receive same benefits,1,
gallup_canada1999,adopt2,q5c,"c(2, 1)","And, in your opinion, should homosexuals be allowed to adopt children or not?","1 yes, should / 2 no, should not",1,
gallup_canada1999,civil2,q5b,"c(2, 1)",Do you or do you not think that homosexual couples who are living as married should receive the same tax and employment benefits as heterosexual married couples?,1 Should receive same benefits 2 Should not receive same benefits,1,
gallup_canada1999,marry2,q5a,"c(2, 1)",Do you favour or oppose marriages between people of the same sex?,1 favor 2 oppose,1,
gallup_canada2000,adopt2,q9c,"c(2, 1)","And, in your opinion, should homosexuals be allowed to adopt children or not?","1 yes, should / 2 no, should not",1,
gallup_canada2000,civil2,q9b,"c(2, 1)",Do you or do you not think that homosexual couples who are living as married should receive the same tax and employment benefits as heterosexual married couples?,1 should receive same benefits 2 should not receive same benefits,1,
gallup_canada2000,marry2,q9a,"c(2, 1)",Do you favour or oppose marriages between people of the same sex?,1 favor 2 oppose,1,
gallup_uk1977,adopt2,q27a,"c(2, 1)",Do you think homosexuals should or should not be allowed to adopt children or not?,"1 yes, should / 2 no, should not",1,
gallup_uk1981,adopt2,q19a,"c(2, 1)",Do you think homosexuals should or should not be allowed to adopt children or not?,"1 yes, should / 2 no, should not",1,
gallup_uk1985,adopt2,q21,"c(2, 1)",Do you think homosexuals should or should not be allowed to adopt children or not?,"1 yes, should / 2 no, should not",1,
gallup_uk1986,accept2a,q27,"c(2, 1)",Do you feel that homosexuality should be considered as an acceptable alternative life-style or not?,1 acceptable / 2 not acceptable,1,
gallup_uk1986,adopt2,q30,"c(2, 1)",Do you think homosexuals should or should not be allowed to adopt children or not?,"1 yes, should / 2 no, should not",1,
gallup_us197706,adopt2,q14,"c(2, 1)",Do you think homosexuals should or should not be allowed to adopt children?,"Yes, should 1. No. should not 2.",1,
gallup_us197706,legal2,q12,"c(2, 1)",Do you think homosexual relations between consenting adults should or should not be legal?,"Yes, should 1. No. should not 2.",1,
gallup_us198206,accept2a,q09j,"c(2, 1)",Do you feel that homosexuality should be considered  as an acceptable alternative life-style or not?,"Yes, 1. No, 2",1,
gallup_us198206,legal2,q09h,"c(2, 1)",Do you think homosexual relations between consenting adults should or should not be legal?,"Yes, should 1. No. should not 2.",1,
gallup_us198606,legal2,q10,"c(2, 1)",Do you think homosexual relations between consenting adults should or should not be legal?,"Yes, should 1. No. should not 2.",1,
gallup_us198703,legal2,q20,"c(2, 1)",Do you think homosexual relations between consenting adults should or should not be legal?,"Yes, should 1. No. should not 2.",1,
gallup_us198807,legal2,q5,"c(2, 1)",Do you think homosexual relations between consenting adults should or should not be legal?,1 should / 2 should not,1,
gallup_us198909,accept2a,q03,"c(2, 1)",Do you feel that homosexuality should be considered as an acceptable alternative life-style or not?,1 acceptable / 2 not acceptable,1,
gallup_us198910,legal2,q39,"c(2, 1)",Do you think gay or lesbian relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
gallup_us199109,legal2,q7,"c(2, 1)",Do you think gay or lesbian relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
gallup_us199206,accept2a,q24,"c(2, 1)",Do you feel that homosexuality should be considered as an acceptable alternative life-style or not?,1 acceptable / 2 not acceptable,1,
gallup_us199206,legal2,q25,"c(2, 1)",Do you think gay or lesbian relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
gallup_us199603,accept2a,q43a,"c(2, 1)",Do you feel that homosexuality should be considered as an acceptable alternative life-style or not?,1 acceptable / 2 not acceptable,1,
gallup_us199603,marry2,q44,"c(2, 1)",Do you think same-sex marriages should be recognized by the law as valid?,1 yes / 2 no,1,
gallup_us199611,legal2,q12,"c(2, 1)",Do you think gay or lesbian relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
gallup_us199902,accept2,q39a,"c(2, 1)",And which one of these comes closer to your opinion?,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,
gallup_us199902,legal2,q35,"c(2, 1)",Do you think gay or lesbian relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
gallup_us200305,legal2,q18,"c(2, 1)",Do you think gay or lesbian relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
gallup_us200401,legal2,q28,"c(2, 1)",Do you think gay or lesbian relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
gallup_us200402,marry2,q10,"c(2, 1)",Do you think same-sex marriages should be recognized by the law as valid?,1 yes / 2 no,1,
gallup_us200508,marry2,q17,"c(2, 1)",Do you think same-sex marriages should be recognized by the law as valid?,1 yes / 2 no,1,
gallup_us200709,adopt2,q25,"c(2, 1)",Do you think same-sex couples should have the legal right to adopt a child?,1 yes / 2 no,1,
gallup_us200905,adopt2,q19a,"c(2, 1)",Do you think same-sex couples should have the legal right to adopt a child?,1 yes / 2 no,1,
gallup_us200905,marry2,q15,"c(2, 1)",Do you think same-sex marriages should be recognized by the law as valid?,1 yes / 2 no,1,
gallup_us201112,legal2,q22,"c(2, 1)",Do you think gay or lesbian relations between consenting adults should or should not be legal?,1 should be legal / 2 should not be legal,1,
